COD_DISTRIBUIDORA,COD_PRODUCTO,DESC_PRODUCTO,COD_EAN,NOM_PROVEEDOR,FACTOR_UNI_MIN,FACTOR_UNI_MAX
1000012329,8317018,LIMPTODO SAP MANZANA 12X900 ML,N/A,ALICORP SAA,12,12
1000012286,8317019,LIMPTODO SAP LIMON 12X900 ML,N/A,ALICORP SAA,12,12
1000034830,8317021,LIMPTODO SAP BEBE 12X900 ML,N/A,ALICORP SAA,12,12
1000029956,8317028,LIMPTODO SAP FLORAL 6X1800 ML,N/A,ALICORP SAA,6,6
1000019381,8317030,LIMPTODO SAP LAVANDA 4X3785 ML,N/A,ALICORP SAA,4,4
30003902,8317032,LIMPTODO SAP LAVANDA 4X4.9 LT,N/A,ALICORP SAA,4,4
1000028458,8317033,LIMPTODO SAP FLORAL 4X4.9 LT,N/A,ALICORP SAA,4,4
30002575,8317034,LIMPTODO SAP BEBE 4X4.9 LT,N/A,ALICORP SAA,4,4
1000020099,8317035,LIMPTODO SAP LIMON 4X4.9 LT,N/A,ALICORP SAA,4,4
1000018687,8317036,LIMPTODO SAP ROSAS 4X5 LT,N/A,ALICORP SAA,4,4
1000028129,8317046,LIMPTODO SAP LAVANDA 15X648 ML,N/A,ALICORP SAA,15,15
1000004314,8317047,LIMPTODO SAP FLORAL 15X648 ML,N/A,ALICORP SAA,15,15
1000018865,8317048,LIMPTODO SAP BEBE 15X648 ML,N/A,ALICORP SAA,15,15
1000028662,8317051,SAP LIMPIATODO LAVANDA 12 X 650 ML - DESCONT,N/A,ALICORP SAA,12,12
1000019379,8317159,LIMPTODO SAP AB COCO 4X5 LT - DESCONT,N/A,ALICORP SAA,4,4
1000016707,8317160,LIMPTODO SAP AB MELON 4X5 LT - DESCONT,N/A,ALICORP SAA,4,4
1000028585,8320001,ALCOHOL GEL AVAL AMAZON 12X380 ML,N/A,ALICORP SAA,12,12
1000012262,8320002,ALCOHOL GEL AVAL OCEAN 12X380 ML,N/A,ALICORP SAA,12,12
1000028578,8320003,ALCOHOL GEL AVAL NATURAL 12X380 ML,N/A,ALICORP SAA,12,12
1000012287,8320004,JAB LIQ AVAL LAVANDA 12X400 ML,N/A,ALICORP SAA,12,12
1000019371,8320005,JAB LIQ AVAL ROSAS 12X400 ML,N/A,ALICORP SAA,12,12
1000029670,8320006,JAB LIQ AVAL LIMON 12X400 ML,N/A,ALICORP SAA,12,12
1000028575,8320007,JAB LIQ AVAL MANZANA 12X400 ML,N/A,ALICORP SAA,12,12
1000016707,8320008,AVAL JABON LIQ. TROP 12 X 400 ML - DESCONT,N/A,ALICORP SAA,12,12
1000009118,8320009,AVAL JABON LIQ. ALMENDRA 12 X 400 ML - DESCONT,N/A,ALICORP SAA,12,12
1000018861,8320010,JAB LIQ ANTIB AVAL FRES EUCAL 12X400 ML,N/A,ALICORP SAA,12,12
1000029697,8320014,JAB LIQ ANTIB AVAL VAINILLA 12X400 ML,N/A,ALICORP SAA,12,12
1000009118,8320015,JAB LIQ ANTIB AVAL FRUTOS R 12X400 ML,N/A,ALICORP SAA,12,12
1000019379,8320016,JAB LIQ ANTIB AVAL PAS CITRIC 12X400 ML,N/A,ALICORP SAA,12,12
1000018687,8320022,JAB LIQ ANTIB AVAL FRES EUCAL 4X5 LT,N/A,ALICORP SAA,4,4
1000008730,8320023,JAB LIQ ANTIB AVAL VAINILLA 4X5 LT,N/A,ALICORP SAA,4,4
