COD_PROD,DESC_PROD,EAN_13,CATEGORIA_PROD,FAMILIA_PROD,MARCA_PROD,SEGMENTO_PROD,UND_X_CAJA,PESO_X_UND,PRESENTACION_PROD,ESTADO_PROD
8404050,DETER. MARSELLA PET.RELAJ.FLORA 4KG 4BOL,7750243051255,Detergentes,Marsella Aromaterapi,Marsella,Core,4,4.0,4kg,O
8404051,DETER. MARSELLA PET. RELAJAN 800GR 15BOL,7750243053723,Detergentes,Marsella Aromaterapi,Marsella,Core,15,0.8,750g,O
8404052,DETER. MARSELLA ESC. BOSQUE 800GR 15BOL,7750243053730,Detergentes,Marsella Aromaterapi,Marsella,Core,15,0.8,780g,O
8404053,DETER. MARSELLA PETALO RELAJ 150GR.60BOL,7750243054140,Detergentes,Marsella Aromaterapi,Marsella,Core,60,0.15,140g,O
8404054,DETER. MARSELLA PETALO RELAJ 150GR 30BOL,7750243054157,Detergentes,Marsella Aromaterapi,Marsella,Core,30,0.35,330g,O
8404055,DETER. MARSELLA PETALO RELAJ 500GR 24BOL,7750243054164,Detergentes,Marsella Aromaterapi,Marsella,Core,24,0.5,450g,O
8404056,DETER. MARSELLA PETALO RELAJ 800GR 15BOL,7750243054171,Detergentes,Marsella Aromaterapi,Marsella,Core,15,0.8,750g,O
8404057,DETER. MARSELLA PETALO RELAJ 2KG 7BOL,7750243054188,Detergentes,Marsella Aromaterapi,Marsella,Core,7,2.0,2kg,O
8404058,DETER. MARSELLA PETALO RELAJ 4KG 4BOL,7750243054195,Detergentes,Marsella Aromaterapi,Marsella,Core,4,4.0,4kg,O
8404059,DETER. MARSELLA ESENCIA BOSQ 150GR 60BOL,7750243054201,Detergentes,Marsella Aromaterapi,Marsella,Core,60,0.15,150g,O
8404060,DETER. MARSELLA ESENCIA BOSQ 350GR 30BOL,7750243054218,Detergentes,Marsella Aromaterapi,Marsella,Core,30,0.35,350g,O
8404061,DETER. MARSELLA ESENCIA BOSQ 500GR 24BOL,7750243054225,Detergentes,Marsella Aromaterapi,Marsella,Core,24,0.5,500g,O
8404062,DETER. MARSELLA ESENCIA BOSQ 800GR 15BOL,7750243054232,Detergentes,Marsella Aromaterapi,Marsella,Core,15,0.8,780g,O
8404063,DETER. MARSELLA ESENCIA BOSQ 2KG 7BOL,7750243054249,Detergentes,Marsella Aromaterapi,Marsella,Core,7,2.0,2kg,O
8404064,DETER. MARSELLA PETALOS RELAJ 8KG 1BOL,7750243055284,Detergentes,Marsella Aromaterapi,Marsella,Core,1,8.0,8kg,O
