COD_DISTRIBUIDORA,COD_PROD_DISTRIBUIDOR,COD_PROD_MAESTRO,FECHA_REGISTRO,USUARIO
1000019379,33617,4527264,00:00.0,Alicorp
1000019365,34874,4800006,03:37.2,Alicorp
1000008859,34052,4820005,00:00.0,Alicorp
30007082,34052,4820005,00:00.0,Alicorp
1000010013,32190,5101007,00:00.0,Alicorp
1000007880,32191,5101009,00:00.0,Alicorp
1000018865,32006,5101015,00:00.0,Alicorp
1000028129,32767,5101016,00:00.0,Alicorp
1000029670,34875,5101018,25:02.6,Alicorp
1000009363,29840,5101806,08:45.1,JSVS
30007082,32096,5101839,00:00.0,Alicorp
1000028858,32095,5101840,00:00.0,Alicorp
1000020428,33104,5101843,00:00.0,Alicorp
1000007598,33957,5101844,00:00.0,Alicorp
1000008802,31974,5101845,00:00.0,Alicorp
1000012371,31912,5101846,00:00.0,Alicorp
1000001852,31684,5101847,00:00.0,Alicorp
1000034819,31685,5101848,00:00.0,Alicorp
1000035585,31973,5101849,00:00.0,Alicorp
1000007880,31656,5101850,00:00.0,Alicorp
1000019381,32060,5101851,00:00.0,Alicorp
1000031176,32009,5101852,00:00.0,Alicorp
1000007880,32009,5101852,00:00.0,Alicorp
1000028859,3639,51332,00:00.0,Alicorp
1000008739,3640,51343,00:00.0,Alicorp
1000028589,24779,5205041,16:20.0,Alicorp
1000012287,33091,5205070,00:00.0,Alicorp
1000029670,31911,5205071,00:00.0,Alicorp
1000007747,33092,5205072,00:00.0,Alicorp
1000008829,25296,5205073,00:00.0,Alicorp
1000009263,33094,5205074,00:00.0,Alicorp
1000016655,25143,5205075,00:00.0,Alicorp
1000010245,33102,5205075,00:00.0,Alicorp
1000018865,33860,5205085,00:00.0,Alicorp
1000007670,33862,5205086,00:00.0,Alicorp
1000011855,33861,5205087,00:00.0,Alicorp
1000028589,33858,5205090,00:00.0,Alicorp
1000028586,35118,5205093,40:31.1,Alicorp
1000008802,18328,5802013,00:00.0,Alicorp
1000007747,18328,5802013,00:00.0,Alicorp
1000018847,4833,5802066,00:00.0,Alicorp
1000034819,33859,5802068,00:00.0,Alicorp
1000012262,25141,5802093,00:00.0,Alicorp
1000007926,33764,5802198,00:00.0,Alicorp
1000028574,33765,5802199,00:00.0,Alicorp
1000019463,33766,5802201,00:00.0,Alicorp
1000028458,32866,6600003,00:00.0,Alicorp
30003885,33052,6602024,00:00.0,Alicorp
1000034819,21237,6602027,00:00.0,Alicorp
30001508,32192,6701002,00:00.0,Alicorp
1000007672,32194,6701004,00:00.0,Alicorp
1000028574,32197,6701006,00:00.0,Alicorp
1000011384,32198,6701007,00:00.0,Alicorp
1000019365,32199,6701008,00:00.0,Alicorp
1000009549,32090,6701019,00:00.0,Alicorp
1000031176,30672,6701022,00:00.0,Alicorp
1000004314,32193,6701034,00:00.0,Alicorp
1000012434,303034,6702007,00:00.0,Alicorp
1000019371,33034,6702007,00:00.0,Alicorp
1000035585,33034,6702007,00:00.0,Alicorp
1000010295,33035,6702008,00:00.0,Alicorp
1000019365,29253,6702013,00:00.0,Alicorp
1000012343,30671,6706000,00:00.0,Alicorp
1000032002,33952,6714000,00:00.0,Alicorp
1000019463,33036,6714001,00:00.0,Alicorp
1000018974,34873,6714003,03:37.2,Alicorp
1000029697,4763,6802030,00:00.0,Alicorp
1000018865,33214,7005000,00:00.0,Alicorp
1000012434,18352,8300019,00:00.0,Alicorp
30003984,23166,8300022,00:00.0,Alicorp
1000019379,23272,8300024,00:00.0,Alicorp
1000008802,21765,8300028,00:00.0,Alicorp
1000012343,21765,8300028,00:00.0,Alicorp
1000008167,33128,8300085,00:00.0,Alicorp
1000012329,32544,8300090,00:00.0,Alicorp
1000008802,19120,8300091,00:00.0,Alicorp
1000009263,24723,8300093,00:00.0,Alicorp
1000012434,34140,8300100,00:00.0,Alicorp
1000018378,18323,8301002,00:00.0,Alicorp
1000028859,18291,8301003,00:00.0,Alicorp
1000008802,5170,8301020,00:00.0,Alicorp
1000018378,18053,8301020,00:00.0,Alicorp
1000009118,21637,8301022,00:00.0,Alicorp
1000018378,34836,8301025,51:58.1,Alicorp
1000008558,20963,8301040,00:00.0,Alicorp
1000018850,20963,8301043,00:00.0,Alicorp
1000024723,32261,8301100,00:00.0,Alicorp
1000008730,5026,8301101,00:00.0,Alicorp
1000007670,29539,8301101,00:00.0,Alicorp
1000028859,5026,8301101,00:00.0,Alicorp
1000008829,5025,8301102,00:00.0,Alicorp
1000011384,5025,8301102,00:00.0,Alicorp
1000024723,19447,8301104,00:00.0,Alicorp
1000019365,19447,8301104,00:00.0,Alicorp
1000018974,4695,8301105,00:00.0,Alicorp
1000012341,3599,8301106,00:00.0,Alicorp
1000012329,4696,8301107,00:00.0,Alicorp
1000020428,18466,8301109,00:00.0,Alicorp
1000018865,18467,8301109,00:00.0,Alicorp
1000028586,24591,8301110,00:00.0,Alicorp
1000028587,31371,8301111,00:00.0,Alicorp
1000018617,31366,8301112,00:00.0,Alicorp
1000012262,31367,8301113,00:00.0,Alicorp
30002600,26691,8301121,00:00.0,Alicorp
1000035866,27544,8301123,00:00.0,Alicorp
1000028588,24155,8301124,00:00.0,Alicorp
1000007747,24155,8301124,00:00.0,Alicorp
1000029956,27542,8301139,00:00.0,Alicorp
1000028585,35024,8301211,17:37.5,Alicorp
1000018636,35025,8301212,57:35.2,Alicorp
1000016655,35026,8301213,03:31.0,Alicorp
1000008721,35027,8301216,57:35.2,Alicorp
1000018310,5027,8301256,15:37.0,Alicorp
1000028572,25951,8301260,00:00.0,Alicorp
1000018866,31616,8301261,00:00.0,Alicorp
1000028586,29540,8301265,00:00.0,Alicorp
1000018865,29538,8301266,25:02.2,JSVS
1000021615,30465,8303001,00:00.0,Alicorp
1000008549,30555,8303002,00:00.0,Alicorp
1000021982,23168,8303003,00:00.0,Alicorp
1000012371,23279,8303004,00:00.0,Alicorp
30003902,30554,8303004,00:00.0,Alicorp
1000019463,30513,8303005,00:00.0,Alicorp
1000008721,23167,8303011,00:00.0,Alicorp
1000012262,23273,8303012,00:00.0,Alicorp
1000032002,22235,8303013,00:00.0,Alicorp
1000021615,23040,8303019,00:00.0,Alicorp
1000019381,23039,8303020,00:00.0,Alicorp
1000028859,23118,8303021,00:00.0,Alicorp
1000004314,23119,8303022,00:00.0,Alicorp
1000028858,24119,8303023,00:00.0,Alicorp
1000021982,23387,8303025,00:00.0,Alicorp
1000028458,5016,8303026,00:00.0,Alicorp
1000016655,5018,8303028,00:00.0,Alicorp
1000034819,23165,8303032,00:00.0,Alicorp
1000007670,23165,8303032,00:00.0,Alicorp
1000012262,4035,8303057,00:00.0,Alicorp
1000018534,5015,8303058,00:00.0,Alicorp
1000028578,25077,8304000,00:00.0,Alicorp
1000035866,31902,8304001,00:00.0,Alicorp
1000034830,30526,8304002,00:00.0,Alicorp
1000019463,30527,8304003,00:00.0,Alicorp
1000008739,30520,8304004,00:00.0,Alicorp
1000012434,31904,8304019,00:00.0,Alicorp
1000029956,30528,8304020,00:00.0,Alicorp
1000032177,30525,8304021,00:00.0,Alicorp
1000009232,33716,8304022,00:00.0,Alicorp
1000028585,30514,8304032,00:00.0,Alicorp
1000018866,30518,8304033,00:00.0,Alicorp
1000008730,32365,8305001,00:00.0,Alicorp
1000002120,35223,8305008,03:38.8,Alicorp
1000028589,23117,8305011,00:00.0,Alicorp
1000023530,23614,8305014,00:00.0,Alicorp
1000028794,28587,8305016,00:00.0,Alicorp
1000012077,31897,8305028,00:00.0,Alicorp
1000010245,4335,8305030,00:00.0,Alicorp
1000028584,229,8305031,00:00.0,Alicorp
1000008558,31896,8305031,00:00.0,Alicorp
1000018865,4334,8305033,00:00.0,Alicorp
1000035585,32364,8305034,00:00.0,Alicorp
1000008877,21709,8305076,00:00.0,Alicorp
30003885,32551,8305078,00:00.0,Alicorp
1000012434,23502,8305103,00:00.0,Alicorp
30002317,23613,8305105,08:45.2,JSVS
1000028589,23613,8305105,00:00.0,Alicorp
1000028589,31349,8305256,00:00.0,Alicorp
1000019463,31714,8305257,00:00.0,Alicorp
1000028587,31347,8305258,00:00.0,Alicorp
1000012077,31348,8305259,00:00.0,Alicorp
1000007527,31713,8305260,00:00.0,Alicorp
1000019379,4020,8305271,00:00.0,Alicorp
1000012275,4474,8305272,00:00.0,Alicorp
1000028760,24875,8305273,00:00.0,Alicorp
1000028589,4255,8305274,00:00.0,Alicorp
1000035866,35167,8305275,35:45.3,Alicorp
1000028575,33696,8305276,00:00.0,Alicorp
1000008893,33694,8305277,00:00.0,Alicorp
1000020428,33126,8305278,00:00.0,Alicorp
1000008558,33127,8305279,00:00.0,Alicorp
1000010245,34837,8305281,08:33.5,Alicorp
1000028662,32938,8305286,00:00.0,Alicorp
1000009232,4256,8305290,00:00.0,Alicorp
1000012343,35168,8305322,40:31.1,Alicorp
1000004006,32463,8306002,00:00.0,Alicorp
1000018366,21779,8306007,00:00.0,Alicorp
1000019365,24486,8306031,00:00.0,Alicorp
30002317,19864,8306032,00:00.0,Alicorp
1000008549,21778,8306034,00:00.0,Alicorp
1000012198,33898,8306035,00:00.0,Alicorp
30002575,23508,8306037,00:00.0,Alicorp
1000008802,3881,8309000,00:00.0,Alicorp
1000008184,3879,8309001,00:00.0,Alicorp
1000028578,3877,8309002,00:00.0,Alicorp
1000018866,3878,8309007,00:00.0,Alicorp
1000007747,33697,8309034,00:00.0,Alicorp
1000034819,27352,8309035,00:00.0,Alicorp
1000008549,27984,8309040,00:00.0,Alicorp
1000028136,27985,8309041,19:37.8,Alicorp
1000028760,5036,8309043,00:00.0,Alicorp
1000012275,28879,8309043,00:00.0,Alicorp
30007082,25536,8309044,00:00.0,Alicorp
1000012286,23410,8309047,00:00.0,Alicorp
1000009039,26154,8309057,00:00.0,Alicorp
1000009039,26153,8309059,00:00.0,Alicorp
1000010077,27987,8309068,46:25.2,JSVS
1000028859,27986,8309071,00:00.0,Alicorp
1000008877,3879,8309120,00:00.0,Alicorp
1000028858,3877,8309121,00:00.0,Alicorp
1000016655,4450,8309122,00:00.0,Alicorp
1000028578,2892,8309123,00:00.0,Alicorp
1000009363,3882,8309124,00:00.0,Alicorp
1000016655,4447,8309125,00:00.0,Alicorp
1000011855,3878,8309126,00:00.0,Alicorp
30002600,4449,8309127,00:00.0,Alicorp
1000018671,5032,8309128,00:00.0,Alicorp
1000020099,25237,8309129,00:00.0,Alicorp
1000029697,31591,8309130,00:00.0,Alicorp
1000035585,31592,8309131,00:00.0,Alicorp
1000032177,3476,8311005,00:00.0,Alicorp
1000012371,3476,8311005,00:00.0,Alicorp
1000012371,32661,8311012,00:00.0,Alicorp
1000018366,32662,8311013,00:00.0,Alicorp
1000029670,34142,8311017,00:00.0,Alicorp
1000012343,30463,8311018,00:00.0,Alicorp
1000009913,30464,8311019,00:00.0,Alicorp
1000024166,1167,8312005,00:00.0,Alicorp
1000012343,1167,8312005,00:00.0,Alicorp
1000008859,90,8312006,00:00.0,Alicorp
1000018865,95,8312007,00:00.0,Alicorp
1000009913,5156,8312008,00:00.0,Alicorp
1000008877,5156,8312008,00:00.0,Alicorp
1000018974,31903,8312011,00:00.0,Alicorp
1000008893,3999,8312015,00:00.0,Alicorp
1000012371,3998,8312016,00:00.0,Alicorp
1000035866,4001,8312017,00:00.0,Alicorp
1000012286,4000,8312018,16:20.0,Alicorp
1000024723,5155,8312026,00:00.0,Alicorp
1000028588,19075,8313005,00:00.0,Alicorp
1000009363,32181,8314002,30:44.8,Alicorp
1000020099,28183,8315000,00:00.0,Alicorp
1000028578,26264,8315001,00:00.0,Alicorp
1000004006,23041,8315005,03:31.0,Alicorp
1000028458,33560,8315006,00:00.0,Alicorp
1000010013,33561,8315006,00:00.0,Alicorp
1000002120,22318,8315013,00:00.0,Alicorp
30002600,24120,8315014,00:00.0,Alicorp
1000004065,31736,8315015,00:00.0,Alicorp
1000028574,31715,8315016,00:00.0,Alicorp
30003902,33259,8315017,00:00.0,Alicorp
1000009118,19862,8315018,00:00.0,Alicorp
30002600,30967,8315019,00:00.0,Alicorp
1000004065,30968,8315020,00:00.0,Alicorp
1000001852,30000,8315027,00:00.0,Alicorp
1000028575,29820,8315030,00:00.0,Alicorp
1000028584,29821,8315031,00:00.0,Alicorp
1000011384,31898,8315039,00:00.0,Alicorp
1000018366,26075,8315041,00:00.0,Alicorp
1000028584,3462,8315042,00:00.0,Alicorp
1000009232,4814,8315043,00:00.0,Alicorp
1000028575,4814,8315043,00:00.0,Alicorp
1000029670,34292,8315044,00:00.0,Alicorp
1000021982,20128,8315045,00:00.0,Alicorp
1000018352,22317,8315046,00:00.0,Alicorp
1000032002,22317,8315046,00:00.0,Alicorp
1000034830,18899,8315047,00:00.0,Alicorp
1000019448,33258,8315061,00:00.0,Alicorp
1000008721,34539,8315135,38:35.9,Alicorp
1000009363,4876,8316002,00:00.0,Alicorp
1000008167,23037,8316004,00:00.0,Alicorp
1000035585,30529,8316011,00:00.0,Alicorp
1000029697,20885,8316014,00:00.0,Alicorp
1000024723,20888,8316015,00:00.0,Alicorp
1000035866,20886,8316016,00:00.0,Alicorp
1000007926,5157,8316017,25:02.3,JSVS
1000008549,5157,8316017,00:00.0,Alicorp
1000011855,4299,8316018,25:02.3,JSVS
1000012354,4299,8316018,00:00.0,Alicorp
1000009263,4298,8316019,00:00.0,Alicorp
1000034830,4878,8316020,21:07.2,Alicorp
1000028587,4297,8316021,00:00.0,Alicorp
1000028858,4288,8316025,00:00.0,Alicorp
1000018866,4289,8316026,00:00.0,Alicorp
1000024166,4289,8316026,00:00.0,Alicorp
1000004314,32939,8316028,00:00.0,Alicorp
1000007672,30969,8316031,00:00.0,Alicorp
1000007747,29769,8316032,00:00.0,Alicorp
1000002120,30970,8316033,00:00.0,Alicorp
1000018847,21535,8316034,31:58.1,Alicorp
1000012371,18099,8316035,00:00.0,Alicorp
1000028129,18174,8316037,00:00.0,Alicorp
1000029956,19146,8316038,51:58.1,Alicorp
1000035585,32264,8316101,00:00.0,Alicorp
1000034830,32262,8316102,00:00.0,Alicorp
